id	name hu	question hu	description hu	order	name en	question en
1	Adatvédelem	Erősebb adatvédelmi szabályozásra lenne szükség az EU-ban.	A személyes adatok közé tartoznak például az egészségügyi adatok, a genetikai minták, a gazdasági adatok, a telefonhívások vagy az internetböngészési adatok is. Ezek az adatok politikai vagy üzleti célokra egyaránt használhatók.	1	Data protection	EU requires a stronger data protection regime.
2	Minimálbér	Az Uniónak szorgalmaznia kellene, hogy minden tagállamban az átlagfizetéshez kötött minimálbért vezessenek be.	Az átlagos minimálbér az EU tagállamaiban körülbelül az országos átlagbér 40 százaléka. Arányaiban a legalacsonyabb Csehországban (32%), a legmagasabb pedig Szlovéniában és Görögországban (50%). Magyarországon 44%-os a minimálbér átlagbérhez viszonyított aránya.	2	Minimum wage	The EU should promote in all member states to introduce a minimum wage tied to the average wage.
3	Jogalkotás	Az Európai Parlament kezdeményezhessen önállóan is jogszabályt, az Európai Bizottság nélkül.	Az Európai Parlament - szemben a nemzeti parlamentekkel - nem nyújthat be törvényjavaslatot az Európai Bizottság jóváhagyása nélkül. A javaslat támogatói szerint ennek megszüntetése az európai demokrácia fejlesztéséhez járulna hozzá, míg ellenzői a nemzeti szuverenitást, a nemzeti parlamentek önállóságát féltik.	3	Legislation	The European Parliament should initiate legislation independently without the support of the European Commission.
4	CO2 kibocsájtás	Az EU-nak szigorúbb széndioxid-plafonokat kellene bevezetni a kibocsájtás csökkentése érdekében.	Az Európai Unióban érvényes szabályok a széndioxid-kibocsájtás mértékét szabályozzák a klímaváltozás visszaszorítása érdekében. Egyesek szerint további szigorításokra van szükség, mások szerint a hasonló szabályok növelhetik az energiaárakat.	4	CO2 Emission	The EU should introduce higher CO2 ceilings in order to reduce emission.
5	Atomenergia	Az EU tagállamainak meg kellene tiltani az atomenergia állami támogatását.	Az atomenergia támogatói a fűtőanyag-felhasználás hatékonyságával és (például a szén- vagy gázfűtésű erőművekkel szemben) az alacsony CO2-kibocsájtással érvelnek. Az ellenzők szerint az atomenergia használata nem kifizetődő és magas kockázattal jár.	5	Nuclear Energy	Using nuclear energy should be banned in all EU Member States.
6	GMO	A génmódosított növények termesztését engedélyezni kellene az EU tagállamaiban.	Az EU jelenleg szigorúan korlátozza a génmódosított növények termesztését. A GMO-növények természtésének támogatói szerint az ilyen növények ellenállóbbak a különböző betegségekkel szemben, ezért nem igényelnek vegyi kezelést. A GMO ellenzői a lehetséges egészségügyi kockázatok és környezeti károk miatt aggódnak.	6	GMOs	Should genetically-modified growing be more regulated?
7	Vámok	A fejlődő országokból származó mezőgazdasági termékekre kivetett vámokat csökkenteni kellene Európában.	A különböző vámok és importadók támogatói szerint ilyen típusú adókkel lehet megvédeni az uniós tagállamok gazdaságát és piacát a fejlődő országok olcsó mezőgazdasági termékeitől. Ellenzői szerint a különböző vámok hátráltatják az elmaradottabb országok fejlődését, hiszen a fejletlenebb országok legfőbb kiviteli cikkei éppen a mezőgazdasági termékek. Ráadásul az importadók növelhetik az élelmiszerek árát is.	7	Custom duties	The custom duties on agricultural products from developing countries should be reduced.
8	Bizottság elnökének megválasztása	Az Európai Bizottság elnökét közvetlenül kellene megválasztani.	Az Európai Bizottság elnökének közvetlen megválasztását támogatók növelnék az uniós intézmények legitimációt. Az ellenzők azzal érvelnek, hogy ez nem old meg semmilyen valós problémát, és nem erősítené az Unióba vetett bizalmat.	8	President of the Commission	President of the European Commission should be elected directly.
9	Társasági adó minimum	Be kellene vezetni egy minden tagállamra kötelező társaságiadó-minimumot az Európai Unióban.	A társasági adó szintje az unión belül 10-35 % között mozog. Az EU-ban egységesen bevezetendő, minimális mértékű társasági adó támogatói szerint a különbségek az EU-n belüli adóparadicsomok kialakulásához vezetek (pl. Ciprus), és a cégek az adókat nem abban az országban fizetik meg, ahol valójában profitot termelnek. Az ellenzők szerint az adópolitika az országok közötti egészséges verseny része.	9	Corporate minimum tax	In all Member States a mandatory minimum corporate tax should be introduced.
10	Belső támogatások	Az uniónak kevesebb támogatást kellene adnia a szegényebb tagállamok számára.	Az EU költségvetésének majdnem egyharmadát teszi ki a régiók támogatása, amelynek fő célja a gazdaságilag fejletlenebb térségek támogatása az EU-n belül. A budapesti régiót kivéve egész Magyarország ide tartozik.	10	Domestic supports	The EU should reduce financial support to the less prospering EU-member countries.
